Wavelength,"Alexa Fluor 532 (EM)","Alexa Fluor 555 (EM)",
670.00,0.0289000000,0.0769200000,
671.00,0.0279500000,0.0737900000,
672.00,0.0275000000,0.0715200000,
673.00,0.0260500000,0.0685000000,
674.00,0.0254900000,0.0674700000,
675.00,0.0248500000,0.0673500000,
676.00,,0.0651300000,
677.00,,0.0612600000,
678.00,,0.0618800000,
679.00,,0.0591600000,
680.00,,0.0593300000,
681.00,,0.0556100000,
682.00,,0.0512000000,
683.00,,0.0520100000,
684.00,,0.0526800000,
685.00,,0.0492600000,
686.00,,0.0471900000,
687.00,,0.0466600000,
688.00,,0.0440000000,
689.00,,0.0432400000,
690.00,,0.0414600000,
691.00,,0.0384300000,
692.00,,0.0392700000,
693.00,,0.0371600000,
694.00,,0.0346500000,
695.00,,0.0354400000,
696.00,,0.0310200000,
697.00,,0.0310500000,
698.00,,0.0312700000,
699.00,,0.0290500000,
700.00,,0.0284800000,
701.00,,0.0288400000,
702.00,,0.0268700000,
703.00,,0.0254400000,
704.00,,0.0247700000,
705.00,,0.0234600000,
706.00,,0.0217200000,
707.00,,0.0222000000,
708.00,,0.0199600000,
709.00,,0.0183000000,
710.00,,0.0211200000,
711.00,,0.0185500000,
712.00,,0.0192200000,
713.00,,0.0181200000,
714.00,,0.0165400000,
715.00,,0.0158300000,
716.00,,0.0155700000,
717.00,,0.0143600000,
718.00,,0.0152500000,
719.00,,0.0125500000,
720.00,,0.0151500000,
721.00,,0.0118700000,
722.00,,0.0130300000,
723.00,,0.0129300000,
724.00,,0.0131000000,
